playIdUnique,nflId,x,y,event,pff_role,pff_positionLinedUp,pff_beatenByDefender,pff_hitAllowed,pff_sackAllowed,pff_nflIdBlockedPlayer,pff_blockType,officialPosition,displayName,passResult
20210909001078,41915,10.87,25.69,pass_forward,Pass Rush,LOLB,NA,NA,NA,NA,NA,OLB,Shaquil Barrett,C
20210909001078,35454,10.97,32.73,pass_forward,Pass Rush,ROLB,NA,NA,NA,NA,NA,DE,Jason Pierre-Paul,C
20210909001078,42654,10.45,26.24,pass_forward,Pass Block,RT,0,0,0,41915,PP,T,La'el Collins,C
20210909001078,37082,10.48,32.46,pass_forward,Pass Block,LT,0,0,0,35454,PP,T,Tyron Smith,C
20210909001078,43424,9.33,29.82,pass_forward,Pass,QB,NA,NA,NA,NA,NA,QB,Dak Prescott,C
20210909001078,52554,11.93,28.55,pass_forward,Pass Block,C,0,0,0,42560,PP,C,Tyler Biadasz,C
20210909001078,42560,11.78,27.88,pass_forward,Pass Rush,NLT,NA,NA,NA,NA,NA,DT,Rakeem Nunez-Roches,C
20210909001078,34777,12.88,29.8,pass_forward,Pass Rush,DRT,NA,NA,NA,NA,NA,NT,Steve McLendon,C
20210909001078,47873,11.28,27.82,pass_forward,Pass Block,RG,0,0,0,42560,CL,G,Connor McGovern,C
20210909001078,46119,12.81,30.52,pass_forward,Pass Block,LG,0,0,0,34777,PP,G,Connor Williams,C
20210909001203,42403,62.37,28.41,pass_forward,Pass Rush,RE,NA,NA,NA,NA,NA,DE,Randy Gregory,C
20210909001203,42377,61.82,27.06,pass_forward,Pass Block,LT,0,0,0,42403,CL,T,Donovan Smith,C
20210909001203,42404,62.83,27.85,pass_forward,Pass Block,LG,0,0,0,42403,PP,G,Ali Marpet,C
20210909001203,46163,62.64,29.41,pass_forward,Pass Block,RG,0,0,0,44955,SW,G,Alex Cappa,C
20210909001203,44955,61.73,28.15,pass_forward,Pass Rush,LE,NA,NA,NA,NA,NA,DE,Carlos Watkins,C
20210909001203,53504,62.57,28.56,pass_forward,Pass Rush,NLT,NA,NA,NA,NA,NA,DT,Osa Odighizuwa,C
20210909001203,25511,66.02,28.65,pass_forward,Pass,QB,NA,NA,NA,NA,NA,QB,Tom Brady,C
20210909001203,40151,63.22,28.98,pass_forward,Pass Block,C,0,0,0,53504,PP,C,Ryan Jensen,C
20210909001227,52421,58.35,29.88,pass_forward,Pass Block,RT,0,0,0,41263,PP,T,Tristan Wirfs,C
20210909001227,42403,58.59,22.81,pass_forward,Pass Rush,ROLB,NA,NA,NA,NA,NA,DE,Randy Gregory,C
20210909001227,25511,59.44,26.98,pass_forward,Pass,QB,NA,NA,NA,NA,NA,QB,Tom Brady,C
20210909001227,40151,56.22,27.85,pass_forward,Pass Block,C,0,0,0,44955,CL,C,Ryan Jensen,C
20210909001227,53504,55.79,25.75,pass_forward,Pass Rush,DRT,NA,NA,NA,NA,NA,DT,Osa Odighizuwa,C
20210909001227,44955,56.51,29.19,pass_forward,Pass Rush,LE,NA,NA,NA,NA,NA,DE,Carlos Watkins,C
20210909001227,42404,56.47,25.75,pass_forward,Pass Block,LG,0,0,0,53504,PP,G,Ali Marpet,C
20210909001227,42377,58.53,23.81,pass_forward,Pass Block,LT,0,0,0,42403,PP,T,Donovan Smith,C
20210909001227,46163,56.97,28.64,pass_forward,Pass Block,RG,0,0,0,44955,PP,G,Alex Cappa,C
20210909001227,41263,57.52,30.35,pass_forward,Pass Rush,LEO,NA,NA,NA,NA,NA,DE,Demarcus Lawrence,C
20210909001267,42404,37.97,29.33,pass_forward,Pass Block,LG,0,0,0,53621,PA,G,Ali Marpet,C
20210909001267,52421,41.02,33.78,pass_forward,Pass Block,RT,0,0,0,44892,PA,T,Tristan Wirfs,C
20210909001267,41363,37.97,32.71,pass_forward,Pass Rush,DLT,NA,NA,NA,NA,NA,DE,Brent Urban,C
20210909001267,25511,41.32,29.97,pass_forward,Pass,QB,NA,NA,NA,NA,NA,QB,Tom Brady,C
20210909001267,40151,37.73,30.69,pass_forward,Pass Block,C,0,0,0,53621,PA,C,Ryan Jensen,C
20210909001267,42377,38.98,27.34,pass_forward,Pass Block,LT,0,0,0,52587,PT,T,Donovan Smith,C
20210909001267,53621,37.07,29.1,pass_forward,Pass Rush,DRT,NA,NA,NA,NA,NA,DT,Quinton Bohanna,C
20210909001267,44892,41.56,34.37,pass_forward,Pass Rush,LEO,NA,NA,NA,NA,NA,DE,Tarell Basham,C
20210909001267,44831,39.67,24.75,pass_forward,Pass Block,TE-L,0,0,0,52587,PA,TE,O.J. Howard,C
20210909001267,52587,39.43,23.83,pass_forward,Pass Rush,REO,NA,NA,NA,NA,NA,DE,Bradlee Anae,C
20210909001267,46163,38.3,32.16,pass_forward,Pass Block,RG,0,0,0,41363,PA,G,Alex Cappa,C
20210909001312,46163,15.34,27.27,pass_forward,Pass Block,RG,0,0,0,43323,PA,G,Alex Cappa,C
20210909001312,46088,13.6,24.02,pass_forward,Pass Rush,RLB,NA,NA,NA,NA,NA,OLB,Leighton Vander Esch,C
20210909001312,42377,15.51,18.84,pass_forward,Pass Block,LT,0,0,0,52587,PA,T,Donovan Smith,C
20210909001312,52421,15.71,29.83,pass_forward,Pass Block,RT,0,0,0,41363,PA,T,Tristan Wirfs,C
20210909001312,25511,20.26,37.47,pass_forward,Pass,QB,NA,NA,NA,NA,NA,QB,Tom Brady,C
20210909001312,43323,12.64,27.87,pass_forward,Pass Rush,LILB,NA,NA,NA,NA,NA,MLB,Jaylon Smith,C
20210909001312,42404,14.79,24.44,pass_forward,Pass Block,LG,0,0,0,53621,PT,G,Ali Marpet,C
20210909001312,40151,17.81,25.5,pass_forward,Pass Block,C,0,0,0,53621,PA,C,Ryan Jensen,C
20210909001312,53621,18.85,23,pass_forward,Pass Rush,DRT,NA,NA,NA,NA,NA,DT,Quinton Bohanna,C
20210909001312,41363,17,32.37,pass_forward,Pass Rush,DLT,NA,NA,NA,NA,NA,DE,Brent Urban,C
20210909001368,46206,28.39,28.73,pass_forward,Pass Block,TE-L,0,0,0,41915,PP,TE,Dalton Schultz,C
20210909001368,46081,32.02,23.12,pass_forward,Pass Rush,NLT,NA,NA,NA,NA,NA,NT,Vita Vea,C
20210909001368,35454,31.79,18.47,pass_forward,Pass Rush,LEO,NA,NA,NA,NA,NA,DE,Jason Pierre-Paul,C
20210909001368,43424,28.14,22.9,pass_forward,Pass,QB,NA,NA,NA,NA,NA,QB,Dak Prescott,C
20210909001368,37082,28.62,27.31,pass_forward,Pass Block,LT,0,0,0,35441,PT,T,Tyron Smith,C
20210909001368,41915,29.07,29.89,pass_forward,Pass Rush,ROLB,NA,NA,NA,NA,NA,OLB,Shaquil Barrett,C
20210909001368,47873,31.41,23.5,pass_forward,Pass Block,RG,0,0,0,46081,PA,G,Connor McGovern,C
20210909001368,42654,31.54,19.38,pass_forward,Pass Block,RT,0,0,0,35454,PA,T,La'el Collins,C
20210909001368,52554,30.69,25.73,pass_forward,Pass Block,C,0,0,0,46081,PT,C,Tyler Biadasz,C
20210909001368,46119,30.13,26.66,pass_forward,Pass Block,LG,0,0,0,35441,PA,G,Connor Williams,C
20210909001368,35441,30.58,27.02,pass_forward,Pass Rush,DRT,NA,NA,NA,NA,NA,DE,Ndamukong Suh,C
2021090900137,53461,115.88,20.07,pass_forward,Pass Rush,SCBR,NA,NA,NA,NA,NA,OLB,Joe Tryon,C
2021090900137,46081,114.05,23.52,pass_forward,Pass Rush,DLT,NA,NA,NA,NA,NA,NT,Vita Vea,C
2021090900137,47873,114.04,24.19,pass_forward,Pass Block,RG,0,0,0,46081,PP,G,Connor McGovern,C
2021090900137,46119,112.83,22.37,pass_forward,Pass Block,LG,0,0,0,35441,SW,G,Connor Williams,C
2021090900137,35441,112.85,23.58,pass_forward,Pass Rush,DRT,NA,NA,NA,NA,NA,DE,Ndamukong Suh,C
