"gameId","playId","nflId","frameId","time","x","y","event","pff_role","pff_positionLinedUp","pff_beatenByDefender","pff_hitAllowed","pff_sackAllowed","pff_nflIdBlockedPlayer","pff_blockType","officialPosition","displayName","passResult"
2021090900,1078,41915,34,"2021-09-10T01:06:04.800",10.87,25.69,"pass_forward","Pass Rush","LOLB",NA,NA,NA,NA,NA,"OLB","Shaquil Barrett","C"
2021090900,1078,46277,34,"2021-09-10T01:06:04.800",28.3,38.55,"pass_forward","Pass Route","SLWR",NA,NA,NA,NA,NA,"WR","Cedrick Wilson","C"
2021090900,1078,35454,34,"2021-09-10T01:06:04.800",10.97,32.73,"pass_forward","Pass Rush","ROLB",NA,NA,NA,NA,NA,"DE","Jason Pierre-Paul","C"
2021090900,1078,46150,34,"2021-09-10T01:06:04.800",25.97,7.03,"pass_forward","Pass Route","RWR",NA,NA,NA,NA,NA,"WR","Michael Gallup","C"
2021090900,1078,42654,34,"2021-09-10T01:06:04.800",10.45,26.24,"pass_forward","Pass Block","RT",0,0,0,41915,"PP","T","La'el Collins","C"
2021090900,1078,47877,34,"2021-09-10T01:06:04.800",31.46,45.7,"pass_forward","Coverage","RCB",NA,NA,NA,NA,NA,"CB","Jamel Dean","C"
2021090900,1078,52425,34,"2021-09-10T01:06:04.800",28.98,13.93,"pass_forward","Pass Route","SRWR",NA,NA,NA,NA,NA,"WR","CeeDee Lamb","C"
2021090900,1078,37082,34,"2021-09-10T01:06:04.800",10.48,32.46,"pass_forward","Pass Block","LT",0,0,0,35454,"PP","T","Tyron Smith","C"
2021090900,1078,43424,34,"2021-09-10T01:06:04.800",9.33,29.82,"pass_forward","Pass","QB",NA,NA,NA,NA,NA,"QB","Dak Prescott","C"
2021090900,1078,46132,34,"2021-09-10T01:06:04.800",32.78,8.39,"pass_forward","Coverage","LCB",NA,NA,NA,NA,NA,"CB","Carlton Davis","C"
2021090900,1078,52554,34,"2021-09-10T01:06:04.800",11.93,28.55,"pass_forward","Pass Block","C",0,0,0,42560,"PP","C","Tyler Biadasz","C"
