gameId,playId,passResult
2021090900,97,I
2021090900,137,C
2021090900,187,C
2021090900,282,I
2021090900,349,I
2021090900,410,C
2021090900,434,I
2021090900,456,C
2021090900,480,C
2021090900,509,C
2021090900,559,C
2021090900,583,C
2021090900,687,C
2021090900,735,C
2021090900,764,C
2021090900,788,C
2021090900,869,C
2021090900,925,I
2021090900,947,I
2021090900,1078,C
2021090900,1203,C
2021090900,1227,C
2021090900,1267,C
2021090900,1312,C
2021090900,1368,C
2021090900,1392,I
2021090900,1425,C
2021090900,1506,I
2021090900,1563,C
2021090900,1587,I
2021090900,1687,I
2021090900,1726,C
2021090900,1776,C
2021090900,1918,I
2021090900,1940,I
2021090900,2008,C
2021090900,2032,C
2021090900,2088,C
2021090900,2129,C
2021090900,2169,C
2021090900,2211,I
2021090900,2233,C
2021090900,2257,I
2021090900,2279,S
2021090900,2298,R
2021090900,2330,R
2021090900,2397,I
2021090900,2419,I
2021090900,2441,IN
2021090900,2530,C
2021090900,2554,C
2021090900,2632,C
2021090900,2656,I
2021090900,2678,I
2021090900,2735,C
2021090900,2780,C
2021090900,2871,I
2021090900,2893,I
2021090900,2915,I
2021090900,3014,IN
2021090900,3062,C
2021090900,3110,C
2021090900,3134,C
2021090900,3216,C
2021090900,3261,C
2021090900,3306,C
2021090900,3330,C
2021090900,3364,R
2021090900,3406,C
2021090900,3462,C
2021090900,3588,C
2021090900,3633,I
2021090900,3655,I
2021090900,3724,I
2021090900,3746,I
2021090900,3793,C
2021090900,3862,C
2021090900,3909,C
2021090900,3933,C
2021090900,3962,C
2021090900,4094,C
2021090900,4141,C
2021090900,4189,I
2021090900,4211,C
2021090900,4246,C
2021090900,4287,C
2021090900,4393,C
2021090900,4428,C
2021090900,4538,I
2021090900,4560,C
2021090900,4624,C
2021090900,4653,C
2021090900,4677,I
2021090900,4699,C
2021090900,4728,I
2021090900,4750,I
2021090900,4772,I
2021091200,56,C
2021091200,122,C
2021091200,146,C
2021091200,176,I
2021091200,231,C
2021091200,303,C
2021091200,348,I
2021091200,370,I
2021091200,605,C
2021091200,705,C
2021091200,750,C
2021091200,821,I
2021091200,843,R
2021091200,864,C
2021091200,966,I
2021091200,1023,I
2021091200,1085,I
2021091200,1153,C
2021091200,1182,C
2021091200,1206,I
2021091200,1249,I
2021091200,1271,I
2021091200,1326,C
2021091200,1459,I
2021091200,1494,C
2021091200,1558,C
2021091200,1582,C
2021091200,1606,C
2021091200,1630,C
2021091200,1732,C
2021091200,1792,I
2021091200,1991,C
2021091200,2020,I
2021091200,2063,R
2021091200,2121,C
2021091200,2145,R
2021091200,2214,R
2021091200,2275,C
2021091200,2321,C
2021091200,2399,C
2021091200,2631,S
2021091200,2675,C
2021091200,2720,I
2021091200,2767,C
2021091200,2906,C
2021091200,2935,I
2021091200,2978,C
2021091200,3045,C
2021091200,3110,C
2021091200,3145,C
2021091200,3383,I
2021091200,3416,C
2021091200,3480,I
2021091200,3502,I
2021091200,3599,C
2021091200,3659,C
2021091200,3728,C
